,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,attention,isTrue
153,0.28506258792437955,0.885745188563196,0.22925195659005565,0.6769436567672683,0.8841846734488966,0.5663787604601442,0.7456731977768695,0
154,0.2467898505599804,0.8752523929486113,0.18904568199478888,0.6522474839133288,0.9004561241333952,0.5378521105389193,0.7233581326657619,0
155,0.2689712340056485,0.8811612437360425,0.2123626533509803,0.6664552000934321,0.8908112503563251,0.5543095084834618,0.736167397798093,0
156,0.32008966105767633,0.8803726545180334,0.26735056376117305,0.6904035837681721,0.8506499998863204,0.5859236184907849,0.7553505994852316,0
157,0.26993302947927383,0.8821813320582613,0.21330727706925978,0.6675375691151066,0.8913440002202905,0.5553578590161165,0.7372709134514223,0
158,0.18599172805077527,0.8923096976787673,0.12224394064202616,0.6336044940928254,0.9682893695799892,0.5073155176711917,0.7121084648279923,0
159,0.3285246650769984,0.8738541272677831,0.27697947425482583,0.690455429703213,0.8360700657857563,0.5883406794821481,0.753932176368887,0
160,0.701776882424628,0.814166234256947,0.6831742094537293,0.8323977908945716,0.4756864347943919,0.795544550590913,0.8553065655182206,0
161,0.9742607867371041,0.7701425035307731,0.9797461387270939,0.9357447271723993,0.21203672307528446,0.9466116061071357,0.928989639198395,0
162,0.9651047669835938,0.7725510451515427,0.9696999226252626,0.9328393282794588,0.22205272965519077,0.9419426638785993,0.927180497146951,0
163,0.8710640324246269,0.7837423949279281,0.8676937915104567,0.8947285848607299,0.3080620882241126,0.8880518939096262,0.8988789609733947,0
164,0.8876106187776209,0.7812905665698564,0.8856838649985443,0.9011395524644413,0.2923277210755842,0.8973225139056614,0.9035123065385025,0
165,0.9409964709274289,0.7798209832836488,0.943167000977493,0.9257558327974015,0.24958083709652126,0.9300558097763267,0.9230828737119754,0
166,0.9206331169929959,0.781001596439602,0.9211868824185332,0.916744786371045,0.2666580078118271,0.9178418357214854,0.9160628366669441,0
167,0.8834977862015613,0.7738706715134921,0.8819103060985022,0.8946444689155976,0.28624291171528143,0.8914995560416875,0.8965994150654014,0
168,0.9084067009366235,0.779308897723908,0.9081985310402737,0.9098683909324563,0.27392164805239216,0.9094559913151448,0.9101247474918803,0
169,0.9381761473763642,0.7922558173276915,0.9390558892562728,0.9319989338247191,0.2672226681155272,0.9337417661024336,0.9309155514266451,0
170,0.9056009398455738,0.7770796081676287,0.9053779609196867,0.9071666132256623,0.273296856519096,0.9067248758500054,0.9074412067728888,0
171,0.8784071359622665,0.7584901111331441,0.8777783225092173,0.8828224253469645,0.270997263963293,0.8815767004273443,0.8835967950140957,0
172,0.926785373444013,0.7915830280008004,0.9268766436389689,0.9261445087790258,0.2751155252362832,0.9263253216349275,0.9260321115805494,0
173,0.9511813657206615,0.8113905395397009,0.9513645444860775,0.94989515396021,0.28107580426721246,0.9502580443400472,0.9496695734181391,0
174,0.8728782457565691,0.749065995472195,0.8726576612463699,0.8744271064585613,0.26350271973125117,0.8739901125935209,0.8746987513365599,0
175,0.8560069447540023,0.7343727462723517,0.855809318918048,0.8573945983600127,0.2581419465813831,0.8570030872887796,0.8576379701454964,0
176,0.9999999999999999,0.8552496182250648,0.9999999999999999,0.9999999999999999,0.29825938869975893,1.0,1.0,0
177,0.9972195899262238,0.853749632049156,0.9971432603694347,0.9977555471011156,0.29852308141254813,0.9976043327297712,0.9978495452387137,0
178,0.5619149241667882,0.4813277041007659,0.5618497036718679,0.5623728777259723,0.16853030532722976,0.5622436712094797,0.5624531953029848,0
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
180,0.3713876795427873,0.8820482548378101,0.2896762789302974,0.14394564800303666,0.3640585158509639,0.8833050894252934,0.7995237502668945,0
181,0.4249954222517854,0.9999999999999999,0.3327229397356691,0.1681245221285668,0.4167189746136064,1.0,0.9084674690443644,0
182,0.3621466610417821,0.8614273407825705,0.28229374620356645,0.13988226295225872,0.3549841955873709,0.8628565893404878,0.7805449865928752,0
183,0.3469873837374365,0.8257051056651996,0.2704327356778338,0.13390461434606218,0.34012075872803715,0.8271262220280395,0.7481040696616188,0
184,0.3801706357233666,0.904642791271162,0.29629837082708116,0.14671986671036594,0.3726476517331143,0.9061957415859696,0.819628797819028,0
185,0.3809735469820206,0.9113781009465909,0.2962887970717772,0.14527789744842798,0.37337768655567977,0.9136751407880265,0.8246888156600044,0
186,0.3657570044086833,0.8611392364736935,0.2862768473058709,0.14449959888766742,0.3586279737313005,0.8612198857418769,0.7822022238941458,0
187,0.3687178679684531,0.8661241074736443,0.28885585972601296,0.14639052589187632,0.36155458687451564,0.8659004406306473,0.7871638394333964,0
188,0.3705684760401372,0.8997284383114748,0.2864528710911664,0.13650208772763345,0.36302366548632664,0.9039959322810545,0.8113016457017629,0
189,0.3691155260844516,0.88936273689337,0.2862301941638077,0.13844972543636427,0.3616810657674826,0.8925635640914638,0.8034025418885069,0
190,0.3796550400578219,0.8658974908159419,0.30083717282259576,0.16014366033026817,0.3725854139532967,0.8616875933124052,0.7926301173175556,0
191,0.3735990606156434,0.8792789091944807,0.2924574245651558,0.14771528816271687,0.36632100237188986,0.8793115876558404,0.798749785855705,0
192,0.3511458450828958,0.8975976390782481,0.2655096076261087,0.11299857427634216,0.3434646402868944,0.90855506366251,0.7998465397414235,0
193,0.37366878651518715,0.8805754554221479,0.2923628797758853,0.14733167101834352,0.3663759938921542,0.8807820204103249,0.7996802264990548,0
194,0.40722830429885526,0.8619523575916391,0.33148706363452257,0.19604115371969671,0.4004346384592095,0.8471749033490882,0.8040830507201234,0
195,0.35370166582224666,0.8906181317051982,0.26922155512604484,0.11872743708351,0.346124160659507,0.8995805124722508,0.7963447043296641,0
196,0.29809970167361677,0.9153136266131227,0.20521108816241762,0.04026127196178208,0.2897679897163255,0.9481560119588807,0.7848000360895728,0
197,0.45735335581652975,0.8441503959647528,0.38860491461994456,0.2651584720623315,0.45118691422685453,0.808530126460337,0.8175685431916722,0
198,0.7844167880067361,0.700080563721201,0.7649717525030082,0.7262805574385262,0.7826726513607861,0.5241761014108273,0.8863012378295712,0
199,0.9772759615032157,0.6101420429904556,0.9875600721009994,0.9999999999999999,0.9781984023062247,0.3507509186561441,0.9233912077329548,0
200,0.9426550093243392,0.6257259315002708,0.9476762391290341,0.9510673083213529,0.9431053921949915,0.381235652961337,0.9163457112010608,0
